timestamp,ch0,ch1
3708456.108,-145,744
3708456.127,-147,681
3708456.127,-131,665
3708456.127,-54,666
3708456.127,-28,683
3708456.134,-29,745
3708456.134,-44,763
3708456.14,-118,765
3708456.14,-145,749
3708456.15,-147,685
3708456.15,-128,667
3708456.156,-51,666
3708456.156,-28,681
3708456.163,-27,746
3708456.163,-42,762
3708456.171,-120,762
3708456.171,-144,747
3708456.18,-144,683
3708456.18,-128,665
3708456.187,-52,665
3708456.187,-27,680
3708456.195,-27,742
3708456.195,-44,761
3708456.218,-121,762
3708456.218,-144,746
3708456.232,-145,681
3708456.232,-126,664
3708456.233,-47,665
3708456.233,-25,680
3708456.236,-24,743
3708456.236,-43,761
3708456.237,-119,761
3708456.237,-144,747
3708456.243,-145,682
3708456.243,-128,665
3708456.262,-51,665
3708456.262,-27,679
3708456.262,-25,744
3708456.262,-40,760
3708456.266,-119,761
3708456.266,-144,747
3708456.297,-148,684
3708456.297,-130,665
3708456.298,-54,665
3708456.298,-31,681
3708456.299,-32,745
3708456.299,-49,763
3708456.3,-121,762
3708456.3,-146,746
3708456.308,-147,681
3708456.308,-131,664
3708456.319,-53,661
3708456.319,-30,677
3708456.323,-31,739
3708456.323,-46,754
3708456.332,-125,753
3708456.332,-147,738
3708456.341,-149,674
3708456.341,-131,656
3708456.347,-53,655
3708456.347,-30,671
3708456.356,-29,733
3708456.356,-46,748
3708456.365,-123,750
3708456.365,-147,734
3708456.372,-149,671
3708456.372,-131,653
3708456.378,-52,652
3708456.378,-29,666
3708456.387,-29,730
3708456.387,-46,747
3708456.4,-125,747
3708456.4,-148,731
3708456.404,-148,668
3708456.404,-131,651
3708456.412,-52,651
3708456.412,-30,666
3708456.431,-30,729
3708456.431,-46,747
3708456.431,-123,747
3708456.431,-149,732
3708456.436,-149,667
3708456.436,-131,651
3708456.443,-54,651
3708456.443,-31,666
3708456.451,-31,729
3708456.451,-48,745
3708456.46,-124,745
3708456.46,-146,731
3708456.467,-147,667
3708456.467,-132,651
3708456.475,-55,650
3708456.475,-30,665
3708456.487,-30,728
3708456.487,-48,745
3708456.493,-124,746
3708456.493,-148,730
3708456.518,-147,666
3708456.518,-131,650
3708456.532,-54,649
3708456.532,-31,665
3708456.533,-29,728
3708456.533,-46,744
3708456.533,-123,744
3708456.533,-147,729
3708456.536,-148,667
3708456.536,-131,649
3708456.538,-55,648
3708456.538,-31,665
3708456.547,-30,728
3708456.547,-47,746
3708456.557,-122,746
3708456.557,-146,731
3708456.567,-148,667
3708456.567,-130,649
3708456.574,-53,649
3708456.574,-30,662
3708456.58,-29,726
3708456.58,-45,745
3708456.588,-122,745
3708456.588,-146,730
3708456.596,-148,665
3708456.596,-130,648
3708456.603,-54,648
3708456.603,-32,662
3708456.611,-29,725
3708456.612,-46,744
3708456.621,-124,743
3708456.621,-148,727
3708456.626,-149,664
3708456.626,-132,647
3708456.634,-55,646
3708456.634,-33,663
3708456.647,-30,726
3708456.647,-46,743
3708456.653,-124,744
3708456.653,-147,729
3708456.659,-147,665
3708456.659,-131,648
3708456.668,-54,648
3708456.668,-31,663
3708456.687,-30,726
3708456.687,-46,742
3708456.687,-123,743
3708456.687,-147,729
3708456.694,-148,665
3708456.694,-133,648
3708456.7,-55,647
3708456.7,-31,661
3708456.709,-29,725
3708456.709,-46,742
3708456.718,-123,742
3708456.718,-149,727
3708456.723,-149,665
3708456.723,-131,648
3708456.732,-54,647
3708456.732,-30,662
3708456.74,-29,726
3708456.74,-48,743
3708456.747,-124,744
3708456.747,-148,729
3708456.756,-148,665
3708456.756,-131,648
3708456.764,-55,648
3708456.764,-31,663
3708456.773,-29,726
3708456.773,-47,744
3708456.779,-124,744
3708456.779,-149,728
3708456.787,-151,663
3708456.787,-131,646
3708456.797,-55,645
3708456.797,-32,658
3708456.819,-31,724
3708456.819,-49,743
3708456.832,-124,741
3708456.832,-146,727
3708456.834,-147,661
3708456.834,-131,645
3708456.835,-54,644
3708456.835,-30,660
3708456.838,-27,725
3708456.838,-44,742
3708456.845,-122,742
3708456.845,-145,727
3708456.851,-149,663
3708456.851,-132,645
3708456.872,-54,645
3708456.872,-30,660
3708456.872,-29,723
3708456.872,-46,742
3708456.878,-125,742
3708456.878,-148,727
3708456.884,-147,664
3708456.884,-130,646
3708456.892,-53,645
3708456.892,-30,660
3708456.903,-27,723
3708456.903,-45,741
3708456.907,-124,742
3708456.907,-146,727
3708456.916,-146,662
3708456.916,-129,646
3708456.923,-51,645
3708456.923,-28,660
3708456.933,-27,724
3708456.933,-45,740
3708456.938,-122,741
3708456.938,-146,726
3708456.948,-148,662
3708456.948,-129,645
3708456.967,-53,644
3708456.967,-29,659
3708456.967,-30,723
3708456.967,-47,741
3708456.974,-122,741
3708456.974,-146,725
3708456.979,-149,662
3708456.979,-133,646
3708456.99,-58,645
3708456.99,-28,660
3708456.996,-26,723
3708456.996,-39,739
3708457.003,-113,739
3708457.003,-131,725
3708457.013,-129,661
3708457.013,-110,644
