timestamp,ch0,ch1
3708368.33,-2,837
3708368.33,18,822
3708368.331,97,760
3708368.331,119,742
3708368.333,121,743
3708368.333,105,758
3708368.336,26,822
3708368.336,1,839
3708368.338,-2,840
3708368.338,14,825
3708368.35,93,762
3708368.35,119,744
3708368.355,120,745
3708368.355,102,761
3708368.364,23,825
3708368.364,-3,842
3708368.369,-3,843
3708368.369,14,826
3708368.378,92,761
3708368.378,116,744
3708368.387,116,745
3708368.387,102,760
3708368.393,23,823
3708368.393,-2,841
3708368.403,-3,840
3708368.403,13,825
3708368.422,94,764
3708368.422,118,746
3708368.422,120,744
3708368.422,104,759
3708368.427,23,823
3708368.427,-3,842
3708368.433,-3,842
3708368.433,12,825
3708368.442,91,760
3708368.442,116,744
3708368.451,117,745
3708368.451,100,760
3708368.457,22,823
3708368.457,-6,841
3708368.466,-4,840
3708368.466,13,824
3708368.474,92,761
3708368.474,118,743
3708368.484,116,745
3708368.484,98,759
3708368.49,23,822
3708368.49,-3,840
3708368.499,-4,841
3708368.499,12,824
3708368.51,92,760
3708368.51,118,744
3708368.514,118,745
3708368.514,101,760
3708368.523,22,823
3708368.523,-4,839
3708368.531,-6,840
3708368.531,12,825
3708368.54,91,762
3708368.54,116,744
3708368.546,118,743
3708368.546,99,759
3708368.555,24,822
3708368.555,-2,840
3708368.574,-3,840
3708368.574,13,825
3708368.574,92,761
3708368.574,116,745
3708368.576,117,745
3708368.576,100,761
3708368.586,22,825
3708368.586,-2,841
3708368.617,-5,841
3708368.617,12,826
3708368.631,91,761
3708368.631,118,744
3708368.632,120,743
3708368.632,102,758
3708368.633,22,822
3708368.633,-5,839
3708368.636,-4,838
3708368.636,15,825
3708368.638,93,760
3708368.638,117,743
3708368.643,118,743
3708368.643,101,757
3708368.652,24,822
3708368.652,-3,839
3708368.661,-4,839
3708368.661,14,824
3708368.666,93,760
3708368.666,119,742
3708368.675,119,742
3708368.675,102,757
3708368.683,22,821
3708368.683,-3,839
3708368.69,-5,840
3708368.69,13,824
3708368.699,94,760
3708368.699,118,742
3708368.718,118,741
3708368.718,101,757
3708368.718,22,820
3708368.718,-3,837
3708368.724,-3,837
3708368.724,15,823
3708368.733,94,760
3708368.733,118,743
3708368.739,120,742
3708368.739,105,755
3708368.747,25,820
3708368.747,-1,838
3708368.753,-5,838
3708368.753,13,823
3708368.762,91,759
3708368.762,118,740
3708368.771,119,739
3708368.771,101,755
3708368.778,24,820
3708368.778,-2,838
3708368.786,-4,838
3708368.786,13,823
3708368.795,90,759
3708368.795,117,741
3708368.804,117,742
3708368.804,101,757
3708368.81,23,821
3708368.81,-2,838
3708368.819,-3,836
3708368.819,12,823
3708368.838,91,760
3708368.838,117,744
3708368.838,117,744
3708368.838,100,758
3708368.844,21,821
3708368.844,-5,839
3708368.855,-5,839
3708368.855,13,824
3708368.858,91,762
3708368.858,115,744
3708368.87,116,742
3708368.87,101,758
3708368.874,21,821
3708368.874,-6,838
3708368.882,-4,838
3708368.882,13,823
3708368.891,92,761
3708368.891,118,743
3708368.916,116,742
3708368.916,102,758
3708368.93,24,821
3708368.93,-3,837
3708368.931,-3,836
3708368.931,16,823
3708368.934,92,760
3708368.934,117,742
3708368.935,117,742
3708368.935,100,756
3708368.941,21,821
3708368.941,-5,838
